ID,ugL-1
1_30_0.2,0.303482587
1_115_0.2,0.535809019
1_30_3,0.333333333
1_115_3,0.440318302
1_150,0.601769912
1_200,0.485981308
1_300,0.853080569
1_400,0.48862679
1_600,0.572419775
1_800,0.576923077
1_20,0.649526387
1_175,0.612623762
1_250,0.524425287
1_350,0.611664296
2_20,1.711711712
2_60,1.996557659
2_90,1.655886158
2_120,1.360691145
2_150,0.756914119
2_800,0.484522207
2_200,0.492610837
2_400,0.559139785
2_600,0.791946309
3_200,0.262881178
3_400,0.433651344
3_600,0.411184211
3_800,0.262881178
3_10,2.314814815
3_700,0.459558824
3_1000,0.318471338
3_1200,0.238777459
3_20,1.960784314
3_30,2.688172043
3_45,2.624671916
3_60,1.926782274
3_75,2.364066194
3_90,1.457725948
3_105,2.164502165
3_120,1.31061599
3_150,0.786163522
3_175,0.459981601
5_20,1.316129032
5_40,1.264637002
5_70,1.538461538
5_100,1.555285541
5_150,0.510409671
5_200,0.376141859
5_400,0.359520639
5_600,0.26911315
5_880,0.277777778
6_4100,0.217080834
6_3000,0.346858639
6_4000,0.216564238
6_3500,0.396039604
6_2500,0.533111204
6_4050,0.214733075
6_20,1.268965517
6_40,1.556195965
6_70,0.92
6_110,1.096963761
6_150,0.528634361
6_200,0.364705882
6_400,0.299674267
6_600,0.232843137
6_800,0.272665303
6_1000,1.602941176
6_1500,1.342281879
6_2000,1.103896104
7_20,1.800720288
7_40,2.5
7_70,1.621621622
7_700,0.49311095
7_108,2.090729783
7_112,2.274678112
7_117,2.034632035
7_122,1.814516129
7_150,0.405904059
7_300,0.505809979
7_500,0
8_20,2.162883845
8_40,3.063683305
8_120,0.848256362
8_175,0.638467678
8_400,0.542328042
8_800,0.46250876
8_250,0.344827586
8_600,0.50110538