Latitude,Longitude,Station,depth,Salinity (PSU),Fe (nM),Zn (nM),Cd (nM),Ni (nM),Cu (nM),Mn (nM),PO4 (uM),NO2+NO3 (uM),Si (uM),NO2 (uM),NH4 (uM)
31.666888,-64.166293,1,10,36.65,0.54,1.01,0,2,0.85,2.4,0.17,0.3,0.1,0.04,0.19
31.666888,-64.166293,1,30,36.82,0.53,0.67,0,1.96,0.89,2.54,0.18,0.2,0.3,0.02,0.09
31.666888,-64.166293,1,60,36.72,0.74,0.75,0,1.97,1,2.16,0.18,0.1,0.1,0.03,0.15
32.995067,-65.976848,2,10,36.83,0.79,0.28,0.01,1.93,0.86,3.21,0.19,0.2,0.2,0.01,0.12
32.995067,-65.976848,2,20,36.86,0.38,0,0.01,2.02,0.8,3.01,0.2,0.1,0.2,0,0.26
32.995067,-65.976848,2,60,36.8,0.3,0.12,0.01,1.95,0.95,2.45,0.2,0.1,0.2,0,0.05
32.995067,-65.976848,2,90,36.8,0.38,1.79,0,2,0.94,,0.15,0.6,0,0.06,0.12
33.945368,-67.018133,3,10,36.69,1.48,0.78,0,2.07,1,1.83,0.18,0.1,0.3,0.03,0.1
33.945368,-67.018133,3,20,36.69,0.83,0.12,0,2.08,0.98,1.78,0.17,0,0.3,0.01,0.09
33.945368,-67.018133,3,60,36.68,0.77,0.14,0,2,0.99,1.67,0.17,0,0.3,0.01,0.08
33.945368,-67.018133,3,90,36.69,0.62,0.61,0,2,0.94,1.51,0.13,0,0.3,0.01,0.05
35.986762,-69.017452,5,10,36.39,0.89,0.22,0.01,2.02,1,2.27,0.16,0.2,0.2,0.05,0.39
35.986762,-69.017452,5,20,36.39,0.51,0,0.01,1.96,0.92,2.1,0.19,0.1,0.4,0.03,0.2
35.986762,-69.017452,5,40,36.6,0.38,0,0,2.02,0.98,1.31,0.13,0.2,0.2,0.03,0.17
35.986762,-69.017452,5,70,36.65,0.44,3.41,0,2.11,0.83,1.3,0.19,0.1,0.2,0.04,0.07
35.986762,-69.017452,5,100,36.74,0.19,5.57,0.02,1.95,0.63,1.25,0.17,0.3,0,0.07,0.14
37.002833,-70.00289,6,10,36.47,1.09,0.04,0.01,2.03,1.01,3.64,0.16,0.3,0.7,0.01,0.02
37.002833,-70.00289,6,20,36.47,0.56,0.95,0.01,2.05,1.07,4.14,0.15,0.1,0.5,0.02,0.07
37.002833,-70.00289,6,40,36.72,0.54,0,0.01,2.1,0.97,3.29,0.16,0,0.5,0.02,0.03
37.002833,-70.00289,6,70,36.65,1.02,5.23,0.01,1.98,0.68,2.19,0.17,0.1,0.5,0.03,0.02
37.002833,-70.00289,6,100,36.72,0.73,7.71,0.01,1.94,0.66,1.6,0.1,0.3,0.2,0.06,0.16
37.413163,-70.320077,7,10,36.35,0.88,0.5,0.01,2.1,1.29,4.04,0.2,0.2,1.2,0.1,0.12
37.413163,-70.320077,7,20,36.35,0.92,0.64,0.01,2.01,1.18,4.21,0.2,0.1,1,0.08,0.14
37.413163,-70.320077,7,40,36.39,1,0.42,0.01,1.99,1,4.01,0.19,0.1,0.8,0.05,0.06
37.413163,-70.320077,7,70,36.59,0.65,2.33,0.01,1.99,0.62,2.89,0.18,0,0.5,0.04,0.05
37.413163,-70.320077,7,100,36.72,1.13,1.92,0.01,1.93,0.84,2.56,0.18,0,0.5,0.04,0.07
38.528372,-70.84278,8,10,35.37,0.65,0.44,0.03,2.92,1.84,,0.17,0.4,0.2,0.02,0.04
38.528372,-70.84278,8,20,35.16,1.45,0.38,0.04,2.68,1.52,2.07,0.11,0.4,0.2,0.02,0.2
38.528372,-70.84278,8,40,35.43,0.88,0,0.05,2.48,1.1,2.2,0.27,1.2,0.9,0.1,0.29
38.528372,-70.84278,8,80,36.06,0.77,1.23,0.14,2.91,1.14,0.3,0.61,6,2.1,0.05,0.06
38.528372,-70.84278,8,100,35.73,1.02,0,0.17,2.74,1.1,0.19,0.67,6.9,2.4,0.04,0.34