ID,Proteins( spectral counts/L),Pigments(ng/kg),Transcripts(copiesL)
1_30_0.2,7757.773632,,41193636.92
1_115_0.2,14432.55172,,391711801.5
1_30_3,8490.166667,,146697844.9
1_115_3,11447.39523,,1112869191
1_150,9698.123894,191,
1_200,5752.560748,,74260914.23
1_300,12039.95261,,
1_400,7018.146588,,13012733.81
1_600,8527.337381,,
1_800,7278.75,,19694308.05
1_20,12726.49526,101,
1_175,8936.649134,,
1_250,6935.262213,,
1_350,8651.991465,,
2_20,29268.55856,66.69,225656365.5
2_60,31558.58864,160.38,
2_90,29670.99612,436.54,
2_120,20705.63715,698.4,549268980.5
2_150,8608.384279,265.81,
2_800,5158.707941,0,2566974.184
2_200,2867.980296,53.16,305256314.4
2_400,4018.76129,0,40862431.73
2_600,5277.055034,0,
3_200,1017.350158,,36550392.71
3_400,3071.986123,,44345672.26
3_600,1405.427632,,17201886.7
3_800,669.1640379,,1690095.583
3_10,31709.49074,,
3_700,730.2389706,,4672320.145
3_1000,2243.630573,,5065547.917
3_1200,1692.096466,,
3_20,25336.27451,116,462745907.7
3_30,32184.13978,,
3_45,33434.3832,,
3_60,25437.37958,,
3_75,29353.4279,,
3_90,19889.94169,,
3_105,30989.17749,586,
3_120,15938.40105,831,306851378.9
3_150,7318.003145,441,
3_175,2881.784729,,
5_20,41638.37419,207.27,2298450089
5_40,37241.66276,274.73,
5_70,46423.84615,362.15,
5_100,44144.44714,785.34,654058861.6
5_150,10879.38214,110.29,
5_200,7469.048898,69.78,111864805.5
5_400,6596.664447,0,40343659.09
5_600,5112.746177,0,
5_880,5271.805556,0,19125832.94
6_4100,1812.842045,,36047.62346
6_3000,2869.561518,,156734.5274
6_4000,1053.007511,,1194799.962
6_3500,2101.287129,,
6_2500,3000.13661,,
6_4050,728.5463764,,
6_20,42608.05517,63.96,425105013.8
6_40,54277.00288,69.78,
6_70,31796.12,191.83,
6_110,27067.5808,329.95,140318421.8
6_150,10135.24229,72.82,
6_200,5942.517647,7.42,84921053.4
6_400,5717.185668,0,48301222.81
6_600,3785.330882,0,
6_800,4744.376278,,17491649.57
6_1000,27963.30882,,54521235.55
6_1500,22604.69799,,
6_2000,17214.70779,,5131985.659
7_20,29838.83553,160.3,487859904.9
7_40,41531.25,132.1,
7_70,26314.86486,334.51,
7_700,4121.667875,,86335486.28
7_108,25828.87574,,698761201.3
7_112,23410.98712,,
7_117,23146.99134,,
7_122,23285.68548,,
7_150,2273.712177,68.92,
7_300,2546.449761,0,
7_500,0,,19184807.06
8_20,32186.95594,417.94,
8_40,38945.54217,1170.15,6983275746
8_120,7402.73327,125.65,329964458.9
8_175,6142.059058,,155454703.8
8_400,5479.68254,,
8_800,4302.487737,,
8_250,1753.517241,6.12,89382820.72
8_600,3250.369934,,44892200.34